LCSC Part Number,Manufacturer,Manufacture Part Number,Customer #,Value,Quoted Manufacturer,Quoted LCSC Part Number,Quantity,Unit Price,Quantity Available,Min\Mult Order Qty,RoHS
C344186,CCTC,TCC0603COG101J500CT,,0603,CCTC,C344186,1,"0,004885",2100,50\50,yes
C22797,UniOhm,0603WAF1302T5E,,0603,UNI-ROYAL(Uniroyal Elec),C22797,1,"0,002027",159800,100\100,yes
C8404,ReliaPro,WJ126V-5.0-2P,,WJ126V-5.0-2P,Ningbo Kangnex Elec,C8404,1,"0,058968",8010,10\10,yes
C347571,PANASONIC,100SXV22M,,CAP-SMD_BD10.0-L10.3-W10.3-FD,PANASONIC,C347571,1,"1,581364",596,1\1,yes
C70260,ON Semicon,1SMB5919BT3G,,SMB_L4.6-W3.6-LS5.3-RD,ON Semiconductor,C70260,1,"0,099806",90310,5\5,yes
C68608,UniOhm,MS122WF200MT4E,,2512,UNI-ROYAL(Uniroyal Elec),C68608,2,"0,088342",955,5\5,yes
,Bourns Inc.,,,AIRD-03-101K,,C283419,2,,,,yes
C124378,Ckmtw,210S-1*4P L=11.6MMGold-plated black,,DIP-1X4P-2.54MM-M,Ckmtw(Shenzhen Cankemeng),C124378,1,"0,024235",34700,20\20,yes
C123517,WTC,0603B682J500,,0603,Walsin Tech Corp,C123517,1,"0,011498",64150,50\50,yes
C327087,YAGEO,CC0603JRX7R8BB104,,0603,YAGEO,C327087,4,,0,50\50,yes
C342280,TDK,CGA9N3X7S2A106KT0Y0N,,C2220,TDK,C342280,2,,0,1\1,yes
C360167,Shenzhen Chip Hope Micro-Electronics,LPN1510C,,TO-220-3_L10.0-W4.5-P2.54-L,Shenzhen Chip Hope Micro-Electronics,C360167,2,,0,1\1,yes
C4184,UniOhm,0603WAF2002T5E,,0603,UNI-ROYAL(Uniroyal Elec),C4184,1,"0,001723",2700,100\100,yes
C107043,YAGEO,CC0603JRNPO9BN222,,0603,YAGEO,C107043,1,"0,012093",2000,50\50,yes
C385986,Taiyo Yuden,HMK325C7475KMHPE,,C1210,Taiyo Yuden,C385986,1,"0,264091",9146,1\1,yes
C4649,Made in China,,,15*10.5*21,XSD,C4649,1,"0,080565",20060,5\5,yes
C134530,LELON,REA102M2ABK-1840,,CAP-TH_BD18.0-P7.50-D1.2-FD,Lelon,C134530,1,"1,064318",187,1\1,yes
C65114,BOOMELE,Header-Male-2.54_2x3,,HDR-TH_6PIN-V-ROW2-COL3-MALE-PITCH2.54,BOOMELE(Boom Precision Elec),C65114,1,"0,021266",48520,20\20,yes
C34642,ValuePro,普通黑色470UF 50V,,CAP-TH_BD10.0-P5.00-D1.0-FD,CX(Dongguan Chengxing Elec),C34642,1,"0,083074",43210,5\5,yes
M8886-ND,Bourns Inc.,2310-V-RC,,2310-V-RC,,,2,,,\,
C282825,CCTC,TCC1206X7R105M101HT,,1206,CCTC,C282825,2,"0,035508",13540,20\20,yes
C22775,UniOhm,0603WAF1000T5E,,0603,UNI-ROYAL(Uniroyal Elec),C22775,2,,0,100\100,yes
C376765,CCTC,TCC0603COG102J500CT,,C0603,CCTC,C376765,3,"0,008057",6750,50\50,yes
C282674,CCTC,TCC0603X7R154K500CT,,0603,CCTC,C282674,1,"0,012717",6600,50\50,yes
C91153,Phoenix Contact,MKDSN1.5/2-5.08,,MKDSN1.5/2-5.08,Phoenix Contact,C91153,1,"0,421591",18553,1\1,yes
C7228,AVX,TAJD476K025RNJ,,CAP-SMD_L7.3-W4.3,AVX,C7228,2,"0,502727",40333,1\1,yes
C13585,SAMSUNG,CL31A106KBHNNNE,,1206,Samsung Electro-Mechanics,C13585,1,,0,5\5,yes
C115325,FH,RS-03K1001FT,,0603,FH(Guangdong Fenghua Advanced Tech),C115325,2,,0,100\100,yes
C232560,ON Semicon,MMSD4148T3G,,SOD-123FL_L2.6-W1.6-LS3.4-RD,ON Semiconductor,C232560,4,"0,020544",7060,20\20,yes
C110669,ON Semicon,FSV2060L,,TO-277B_3P-L6.1-W4.3-LS7.0-BR,ON Semiconductor,C110669,1,"0,556818",8424,1\1,yes
C115056,YAGEO,CC0603JRX7R9BB103,,0603,YAGEO,C115056,1,,0,50\50,yes
C212847,(DIOTEC),SBX2540R,,AXIAL-8.0X7.5,(DIOTEC),C212847,1,"0,941818",905,1\1,yes
C93072,Phoenix Contact,SMKDSP1.5/3-5.08,,SMKDSP1.5/3-5.08-W,Phoenix Contact,C93072,1,"0,7525",5976,1\1,yes
C316196,Viking Tech,CS25FTER100,,1225,Viking Tech,C316196,2,"0,245",2575,1\1,yes
C86471,TE Connectivity,826629-2,,HDR-2X1/2.54,TE Connectivity,C86471,1,"0,197273",13465,1\1,yes
C23179,UniOhm,0603WAF4700T5E,,0603,UNI-ROYAL(Uniroyal Elec),C23179,1,"0,002007",290300,100\100,yes
C22980,UniOhm,0603WAF3601T5E,,0603,UNI-ROYAL(Uniroyal Elec),C22980,1,"0,00203",2300,100\100,yes
