LCSC Part Number,Manufacturer,Manufacture Part Number,Customer #,Value,Quoted Manufacturer,Quoted LCSC Part Number,Quantity,Unit Price,Quantity Available,Min\Mult Order Qty,RoHS
C45070,ValuePro,4700uF 25V 16*25V,,CAP-TH_BD16.0-P7.50-D1.2-FD,CX(Dongguan Chengxing Elec),C45070,1,"0,256136",4004,1\1,yes
C8404,ReliaPro,WJ126V-5.0-2P,,WJ126V-5.0-2P,Ningbo Kangnex Elec,C8404,6,"0,058968",8010,10\10,yes
C268208,,,,FUSE-HOLDER- C268208,HONGJU,C268208,1,,0,1\1,yes
C28244,AVX,TAP106K025SCS,,CAP-TH_L15.5-W8.5-P7.50-D1.2,AVX,C28244,4,"0,386591",968,1\1,yes
C99398,Dinkle,EELK508V-04P,,EELK508V-04P,Dinkle,C99398,2,,0,1\1,yes
C49257,BOOMELE,Header2.54mm 1*3P,,HDR-TH_3P-P2.54-V,BOOMELE(Boom Precision Elec),C49257,2,"0,010025",258050,50\50,yes
C47873,ValuePro,100uF 25V 5*11,,CAP-TH_BD5.0-P2.00-D0.8-FD,CX(Dongguan Chengxing Elec),C47873,2,"0,010442",547150,50\50,yes
C43839,ValuePro,470uF 25V 8*12,,CAP-TH_BD8.0-P3.50-D1.0-FD,CX(Dongguan Chengxing Elec),C43839,2,"0,029522",162340,20\20,yes
,MeanWell,,,LDD-1500H,,,4,,,\,
C10750,ValuePro,1000uF 25V,,CAP-TH_BD10.0-P5.00-D1.0-FD,CX(Dongguan Chengxing Elec),C10750,1,"0,056641",21740,10\10,yes
C263178,Dersonic,CD1E225KC9BER1E000,,CAP-0.2,Dersonic,C263178,4,"0,047389",12180,10\10,yes
