LCSC Part Number,Manufacturer,Manufacture Part Number,Customer #,Value,Quoted Manufacturer,Quoted LCSC Part Number,Quantity,Unit Price,Quantity Available,Min\Mult Order Qty,RoHS
C8404,ReliaPro,WJ126V-5.0-2P,,WJ126V-5.0-2P,Ningbo Kangnex Elec,C8404,1,"0,058968",8010,10\10,yes
C124378,Ckmtw,210S-1*4P L=11.6MMGold-plated black,,DIP-1X4P-2.54MM-M,Ckmtw(Shenzhen Cankemeng),C124378,1,"0,024235",34700,20\20,yes
C141981,TORCH,CT4G-0805-2X1-50V-0.1uF-K,,CAP-TH_L4.8-W3.2-P5.08-D1.2,火炬,C141981,2,"0,118831",2015,5\5,yes
C49257,BOOMELE,Header2.54mm 1*3P,,HDR-TH_3P-P2.54-V,BOOMELE(Boom Precision Elec),C49257,1,"0,010025",258050,50\50,yes
,,,,SSD1306_ARDUINO,,,1,,,,
C169113,FH,CT4-0805B105K500F1,,CAP-CT4-0805-4.2X3.8,FH(Guangdong Fenghua Advanced Tech),C169113,2,"0,091307",15770,5\5,yes
C52721,KENTO,5AR2ST10,,LED-5MM,Hubei KENTO Elec,C52721,1,,0,50\50,yes
C52721,KENTO,5AR2ST10,,LED-5MM,Hubei KENTO Elec,C52721,1,,0,50\50,yes
C52721,KENTO,5AR2ST10,,LED-5MM,Hubei KENTO Elec,C52721,1,,0,50\50,yes
C52721,KENTO,5AR2ST10,,LED-5MM,Hubei KENTO Elec,C52721,1,,0,50\50,yes
C52721,KENTO,5AR2ST10,,LED-5MM,Hubei KENTO Elec,C52721,1,,0,50\50,yes
C58597,UniOhm,MFR0W4F1003A50,,AXIAL-0.4,UNI-ROYAL(Uniroyal Elec),C58597,2,"0,006857",100,50\50,yes
C115447,LITEON,LTL-4234,,LED-TH_BD5.0-P2.54-FD,Lite-On,C115447,1,"0,052274",13150,10\10,yes
C81276,ReliaPro,Header-Male-2.54_1x1,,HDR-1X1/2.54,BOOMELE(Boom Precision Elec),C81276,1,"0,004557",72450,50\50,yes
C381121,XKB Enterprise,PJ-317-B,,AUDIO-SMD_3PIN_PJ-317-B,XKB Enterprise,C381121,1,"0,114381",1845,5\5,yes
C57204,UniOhm,MFR0W4F4701A50,,AXIAL-0.4,UNI-ROYAL(Uniroyal Elec),C57204,3,"0,00687",29050,50\50,yes
,Bosh,,,BME280 I2C,,,1,,,,
C139126,Worldsemi,WS2812D-F8,,LED-8.0-RGB4P,Worldsemi,C139126,1,"0,165455",1697,1\1,yes
C47891,ValuePro,100uF 50V 6.3*12Black high frequency,,CAP-TH_BD6.3-P2.50-D1.0-FD,CX(Dongguan Chengxing Elec),C47891,1,"0,026452",142640,20\20,yes
C231710,GANGYUAN,KAN0654-0701A,,KAN0654-0601B,GANGYUAN,C231710,17,"0,031726",1120,20\20,yes
C124381,Ckmtw,210S-1*8P L=11.6MMGold-plated black,,210S-1X8P,Ckmtw(Shenzhen Cankemeng),C124381,1,"0,047589",11240,10\10,yes
,Arduino,Arduino Nano,,ARDUINO_NANO_V3,Arduino,C123746,1,,,,yes
C119324,Chian Chia Elec,,,AXIAL-0.4,CCO(Chian Chia Elec),C119324,3,"0,00665",14550,50\50,yes
C49314,AVX,TAP105K025SCS,,CAP-TAN-S2.5,AVX,C49314,1,"0,135061",990,5\5,yes
C57439,UniOhm,MFR0W4F2200A50,,AXIAL-0.4,UNI-ROYAL(Uniroyal Elec),C57439,6,,0,50\50,yes
C83988,AOSONG,AM2302,,AM2302,Aosong (Guangzhou) Elec,C83988,1,"3,896136",403,1\1,yes
C168753,FH,CT4-0805B104K500F1,,CAP-CT4-0805-4.2X3.8,FH(Guangdong Fenghua Advanced Tech),C168753,6,,0,10\10,yes
