LCSC Part Number,Manufacturer,Manufacture Part Number,Customer #,Value,Quoted Manufacturer,Quoted LCSC Part Number,Quantity,Unit Price,Quantity Available,Min\Mult Order Qty,RoHS
C119375,Chian Chia Elec,,,RES-TH_BD2.3-L6.5-P10.50-D0.5,CCO(Chian Chia Elec),C119375,1,"0,006239",15200,50\50,yes
C45070,ValuePro,4700uF 25V 16*25V,,CAP-TH_BD16.0-P7.50-D1.2-FD,CX(Dongguan Chengxing Elec),C45070,1,"0,256136",4004,1\1,yes
C8404,ReliaPro,WJ126V-5.0-2P,,WJ126V-5.0-2P,Ningbo Kangnex Elec,C8404,10,"0,058968",8010,10\10,yes
C124378,Ckmtw,210S-1*4P L=11.6MMGold-plated black,,DIP-1X4P-2.54MM-M,Ckmtw(Shenzhen Cankemeng),C124378,1,"0,024235",34700,20\20,yes
C268208,,,,FUSE-HOLDER- C268208,HONGJU,C268208,1,,0,1\1,yes
C119362,Chian Chia Elec,,,RES-TH_BD2.2-L6.5-P10.50-D0.6,CCO(Chian Chia Elec),C119362,1,"0,006611",11950,50\50,yes
C28244,AVX,TAP106K025SCS,,CAP-TAN-S2.5,AVX,C28244,6,"0,386591",968,1\1,yes
C99398,Dinkle,EELK508V-04P,,EELK508V-04P,Dinkle,C99398,2,,0,1\1,yes
C263189,Dersonic,CD1H105MC9BEF4E000,,CAP-0.2,Dersonic,C263189,7,"0,030642",169760,20\20,yes
C91153,Phoenix Contact,MKDSN1.5/2-5.08,,MKDSN1.5/2-5.08,Phoenix Contact,C91153,1,"0,421591",18553,1\1,yes
C261214,Tak Cheong,TC1N4742ATB,,DO-41_BD2.4-L4.7-P8.70-D0.9-FD,Tak Cheong,C261214,1,"0,021123",1820,20\20,yes
C406796,Xunda,PP2291IMT452RB,,CAP-TH_BD35.0-P10.00-D2.3-FD,Xunda,C406796,1,"2,702955",36,1\1,yes
C47891,ValuePro,100uF 50V 6.3*12Black high frequency,,CAP-TH_BD6.3-P2.50-D1.0-FD,CX(Dongguan Chengxing Elec),C47891,1,"0,026452",142640,20\20,yes
C86471,TE Connectivity,826629-2,,HDR-2X1/2.54,TE Connectivity,C86471,1,"0,197273",13465,1\1,yes
C46358,International Rectifier,IRFB7430PBF,,TO-220-3_L10.0-W4.5-P2.54-L,International Rectifier,C46358,2,"2,144545",141,1\1,yes
C111567,SOFNG,DC005-2.0MM,,DC-5020,SOFNG,C111567,1,"0,12152",11185,5\5,yes
C263192,Dersonic,CD1H225KC9BER1F000,,CAP-0.2,Dersonic,C263192,1,"0,124757",4615,5\5,yes
C17314,ON,NCP1117ST50T3G,,SOT-223_L6.5-W3.5-P2.30-LS7.0-BR,ON Semiconductor,C17314,1,"0,194091",40287,1\1,yes
C26537,ON,NCP1117ST33T3G,,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,ON Semiconductor,C26537,1,"0,245",9840,1\1,yes
C358684,MINTRON,MTP125-1102S1,,HDR-TH_2P-P2.54-V_A2541HWV-2P,MINTRON,C358684,12,"0,007491",24500,50\50,yes
